year,month,swir1_threshold,swir2_threshold,swir1_wet_mode,swir1_dry_mode,swir2_wet_mode,swir2_dry_mode
2017,1,0.1953137546546364,0.10145176845622057,,,,
2017,2,0.16412312524933273,0.08201880701024801,,,,
2017,3,0.14457405265236686,0.08,,,,
2017,4,0.16012164677798837,0.08195392235256396,,,,
2017,5,0.16012862870940542,0.0897909431539573,,,,
2017,6,0.1638225371943648,0.10139605724700029,,,,
2017,7,0.18353929256225862,0.11324165635733555,,,,
2017,8,0.21087268843446214,0.1327146601873447,,,,
2017,9,0.23828691847493588,0.15235078900301527,,,,
2017,10,0.2578873615511763,0.17962023369076888,,,,
2017,11,0.28910823416582104,0.17970659691871943,,,,
2017,12,0.2578682442053601,0.16408157091907075,,,,
2018,1,0.257939645292258,0.16414051808456515,,,,
2018,2,0.22672237220941432,0.1329608022533918,,,,
2018,3,0.19927866460390017,0.10170979096765781,,,,
2018,4,0.19561830450332754,0.10177082014874911,,,,
2018,5,0.20713138052213717,0.1174868157542272,,,,
2018,6,0.1954514054481393,0.11743414443772433,,,,
2018,7,0.199241049238073,0.13310039585048486,,,,
2018,8,0.21484743810659573,0.12888504883848112,,,0.08195865953866903,0.22264718677944872
2018,9,0.25393217418496494,0.15234840924272813,,,0.0898030618943787,0.26952554876363766
2018,10,0.28913651024407433,0.19539583330768284,,,,
2018,11,0.3,0.2,,,,
2018,12,0.3,0.19546195379348583,,,,
2019,1,0.2579253425689584,0.1641320607873022,,,,
2019,2,0.25798949638027574,0.16020249878344894,,,,
2019,3,0.2539630193274081,0.16426474752807177,,,,
2019,4,0.25806134230072697,0.16433485485440008,,,,
2019,5,0.2617921191525872,0.18001200909702333,,,,
2019,6,0.2695999094891924,0.19145823272954335,,,,
2019,7,0.2892880185701491,0.2,,,,
2019,8,0.3,0.2,,,,
2019,9,0.3,0.2,,,,
2019,10,0.3,0.2,,,,
2019,11,0.3,0.2,,,,
2019,12,0.3,0.2,,,,
